Ads_ID,Ads_Name,Ads_Category,Platform,Standard_Cost,Cost_Per_Click,Modified_Date
9760,ClickAds LUtWs_03,Image,Tiktok,346.59,0.41,2021_08_06-12_09_16_PM
9706,ClickAds bFOEZ_28,Image,Tiktok,536.57,0.46,2021_08_06-12_09_16_PM
755,ClickAds dpHYY_36,Image,Facebook,644.18,0.25,2021_08_06-12_09_16_PM
186,ClickAds zDFTS_55,Gif file,Instagram,758.67,0.44,2021_08_06-12_09_16_PM
6806,ClickAds rkLks_47,Image,Google,459.19,1.64,2021_08_06-12_09_16_PM
9703,ClickAds UYoxs_06,Image,Google,521.29,1.63,2021_08_06-12_09_16_PM
4492,ClickAds mXKbF_98,Gif file,Tiktok,799.5,1.05,2021_08_06-12_09_16_PM
6471,ClickAds GmjHT_91,Video,Youtube,715.83,1.11,2021_08_06-12_09_16_PM
4974,ClickAds MjLHx_05,Gif file,Instagram,300.72,1.26,2021_08_06-12_09_16_PM
9571,ClickAds RumiU_56,Sound clip,Youtube,571.14,0.72,2021_08_06-12_09_16_PM
8503,ClickAds DECXZ_13,Video,Google,582.27,1.31,2021_08_06-12_09_16_PM
6925,ClickAds RRWab_93,Image,Instagram,376.82,0.88,2021_08_06-12_09_16_PM
3122,ClickAds ueqJh_66,Sound clip,Youtube,119.83,1.6,2021_08_06-12_09_16_PM
8711,ClickAds WGHDM_61,Gif file,Youtube,504.61,1.48,2021_08_06-12_09_16_PM
237,ClickAds BnZDs_14,Video,Instagram,200.58,1.66,2021_08_06-12_09_16_PM
1696,ClickAds fALHd_67,Gif file,Google,304.71,1.54,2021_08_06-12_09_16_PM
3743,ClickAds YwWID_60,Video,Youtube,677.37,1.65,2021_08_06-12_09_16_PM
526,ClickAds DeLJX_22,Image,Tiktok,414.95,1.75,2021_08_06-12_09_16_PM
5879,ClickAds FImdN_40,Video,Tiktok,203.95,1.19,2021_08_06-12_09_16_PM
1332,ClickAds dEGZV_44,Image,Instagram,627.05,0.1,2021_08_06-12_09_16_PM
9882,ClickAds SKfZF_60,Sound clip,Google,865.53,1.3,2021_08_06-12_09_16_PM
300,ClickAds cVFPN_22,Video,Facebook,268.38,0.42,2021_08_06-12_09_16_PM
5812,ClickAds hKkNf_91,Image,Tiktok,522.73,1.47,2021_08_06-12_09_16_PM
2766,ClickAds DzwIG_05,Sound clip,Youtube,546.27,0.35,2021_08_06-12_09_16_PM
302,ClickAds UEqCl_66,Video,Google,831.14,0.37,2021_08_06-12_09_16_PM
6395,ClickAds wIeAo_99,Sound clip,Youtube,757.49,0.36,2021_08_06-12_09_16_PM
4385,ClickAds IBYnQ_46,Gif file,Google,125.98,0.43,2021_08_06-12_09_16_PM
8540,ClickAds Qxtyq_87,Gif file,Instagram,995.18,0.26,2021_08_06-12_09_16_PM
3230,ClickAds rBLth_26,Video,Youtube,681.26,1.58,2021_08_06-12_09_16_PM
9160,ClickAds ighDW_57,Image,Instagram,653.02,0.35,2021_08_06-12_09_16_PM
5072,ClickAds DCXRd_41,Video,Google,465.59,1.19,2021_08_06-12_09_16_PM
8940,ClickAds mHBKk_51,Video,Instagram,814.52,0.26,2021_08_06-12_09_16_PM
8763,ClickAds LJnZJ_98,Video,Google,412.51,0.82,2021_08_06-12_09_16_PM
389,ClickAds HFNRG_02,Video,Google,294.13,1.56,2021_08_06-12_09_16_PM
2219,ClickAds EJHcL_90,Sound clip,Facebook,489.57,0.25,2021_08_06-12_09_16_PM
2134,ClickAds pYKQM_49,Gif file,Tiktok,243.62,0.24,2021_08_06-12_09_16_PM
142,ClickAds knqZE_29,Video,Tiktok,870.52,0.52,2021_08_06-12_09_16_PM
6683,ClickAds UqaLw_43,Video,Google,646.98,0.33,2021_08_06-12_09_16_PM
4484,ClickAds aaxpi_87,Gif file,Tiktok,830.72,1.58,2021_08_06-12_09_16_PM
2230,ClickAds SmBGO_88,Video,Google,559.22,1.58,2021_08_06-12_09_16_PM
3720,ClickAds AByuq_33,Image,Youtube,894.31,0.34,2021_08_06-12_09_16_PM
4720,ClickAds aNCVV_36,Video,Facebook,732.14,0.47,2021_08_06-12_09_16_PM
5945,ClickAds BJNct_79,Image,Facebook,183.35,0.79,2021_08_06-12_09_16_PM
8488,ClickAds RkzcH_88,Video,Google,128.88,1.59,2021_08_06-12_09_16_PM
3120,ClickAds nwutZ_25,Gif file,Google,397.33,1.46,2021_08_06-12_09_16_PM
6856,ClickAds DqTkf_27,Gif file,Instagram,587.25,0.81,2021_08_06-12_09_16_PM
9221,ClickAds mqnTm_64,Gif file,Tiktok,201.53,1.33,2021_08_06-12_09_16_PM
4575,ClickAds AiXvM_84,Sound clip,Google,631.64,1.69,2021_08_06-12_09_16_PM
1534,ClickAds Tfaoa_31,Sound clip,Facebook,532.32,1.81,2021_08_06-12_09_16_PM
3362,ClickAds hTuUP_74,Video,Youtube,516.88,0.73,2021_08_06-12_09_16_PM
