Date,Customer_ID,Product_ID,Time_Spent_On_Ads,Ads_ID,Daily_Internet_Usage,Number_ClicksAds,Number_ProductBought,Modified_Date
2017-08-06,5457,17632,9,6157,5.7,9,3,2021_08_06-03_32_20_PM
2017-11-09,30377,17668,7,3541,6.3,27,5,2021_08_06-03_32_20_PM
2017-12-07,64752,29476,1,6864,9.8,24,2,2021_08_06-03_32_20_PM
2017-01-20,59219,869,14,9777,5.3,28,2,2021_08_06-03_32_20_PM
2017-06-07,90529,27876,11,592,2.4,30,3,2021_08_06-03_32_20_PM
2017-08-05,77078,25966,7,7793,6.0,9,0,2021_08_06-03_32_20_PM
2017-08-12,85095,23502,7,3743,1.8,11,2,2021_08_06-03_32_20_PM
2017-12-11,54443,14715,6,3366,5.4,2,5,2021_08_06-03_32_20_PM
2017-09-07,86261,25400,15,3379,4.4,10,4,2021_08_06-03_32_20_PM
2017-10-27,80796,16433,15,4726,1.3,2,3,2021_08_06-03_32_20_PM
2017-06-07,53182,24471,6,7403,3.8,23,1,2021_08_06-03_32_20_PM
2017-04-17,84219,10471,14,7793,4.3,14,0,2021_08_06-03_32_20_PM
2017-02-14,80796,30210,13,6157,6.9,2,3,2021_08_06-03_32_20_PM
2017-01-30,77407,18305,4,1984,7.3,27,2,2021_08_06-03_32_20_PM
2017-07-11,24684,25886,14,1984,1.8,1,4,2021_08_06-03_32_20_PM
2017-07-14,36779,16328,14,2123,4.2,12,5,2021_08_06-03_32_20_PM
2017-12-13,49011,8857,5,9651,1.7,16,2,2021_08_06-03_32_20_PM
2017-10-03,49011,16727,1,5198,0.7,8,1,2021_08_06-03_32_20_PM
2017-03-08,50743,10195,2,9841,0.9,12,1,2021_08_06-03_32_20_PM
2017-10-11,2566,24715,8,3720,3.6,12,2,2021_08_06-03_32_20_PM
2017-07-17,67323,12190,2,9159,3.1,23,3,2021_08_06-03_32_20_PM
2017-04-29,87548,27206,9,3352,5.4,20,4,2021_08_06-03_32_20_PM
2017-03-16,15021,23717,10,4132,1.0,28,4,2021_08_06-03_32_20_PM
2017-05-03,2566,28359,6,2160,5.5,2,3,2021_08_06-03_32_20_PM
2017-06-26,16687,23204,6,7515,7.2,16,4,2021_08_06-03_32_20_PM
2017-10-31,28737,29314,15,3720,7.0,18,1,2021_08_06-03_32_20_PM
2017-04-02,48477,20215,4,5483,3.6,13,0,2021_08_06-03_32_20_PM
2017-09-25,90529,1095,13,7916,3.6,1,0,2021_08_06-03_32_20_PM
2017-09-16,45060,25116,13,9841,7.2,5,5,2021_08_06-03_32_20_PM
2017-12-17,71577,8830,4,6157,7.6,13,4,2021_08_06-03_32_20_PM
2017-05-30,69212,3186,4,3983,2.0,22,0,2021_08_06-03_32_20_PM
2017-06-16,21222,19693,4,3412,4.9,16,4,2021_08_06-03_32_20_PM
2017-08-09,752,9095,10,6793,8.7,13,5,2021_08_06-03_32_20_PM
2017-12-19,21255,2574,5,9841,6.7,6,3,2021_08_06-03_32_20_PM
2017-09-21,20317,24353,1,3412,9.7,28,2,2021_08_06-03_32_20_PM
2017-01-29,32941,7154,3,3379,8.3,2,1,2021_08_06-03_32_20_PM
2017-12-26,80796,25125,9,2123,6.9,16,4,2021_08_06-03_32_20_PM
2017-02-18,64752,28279,13,6157,2.2,14,5,2021_08_06-03_32_20_PM
2017-12-28,85936,17092,13,3352,2.0,14,4,2021_08_06-03_32_20_PM
2017-02-01,41752,14577,1,9841,2.1,12,0,2021_08_06-03_32_20_PM
2017-05-22,22482,8932,7,6667,3.3,5,4,2021_08_06-03_32_20_PM
2017-03-14,64752,26369,15,4823,6.8,30,3,2021_08_06-03_32_20_PM
2017-11-29,26956,25400,8,3412,4.6,15,0,2021_08_06-03_32_20_PM
2017-10-18,1110,3161,3,4726,9.8,20,5,2021_08_06-03_32_20_PM
2017-06-04,83027,13463,3,2123,6.1,29,2,2021_08_06-03_32_20_PM
2017-11-12,66244,14577,12,1867,5.1,3,5,2021_08_06-03_32_20_PM
2017-10-16,45060,22342,5,6864,9.4,23,5,2021_08_06-03_32_20_PM
2017-09-04,44126,13073,3,2471,5.7,25,4,2021_08_06-03_32_20_PM
2017-01-28,85095,7429,6,5465,2.9,30,1,2021_08_06-03_32_20_PM
2017-02-11,61663,29523,7,6667,6.3,19,1,2021_08_06-03_32_20_PM
2017-02-04,71943,14646,8,3379,0.9,14,4,2021_08_06-03_32_20_PM
2017-05-25,61663,14077,10,9280,4.0,14,4,2021_08_06-03_32_20_PM
2017-12-26,21255,16842,3,4505,3.0,30,1,2021_08_06-03_32_20_PM
2017-04-30,27089,20417,10,1565,8.0,21,5,2021_08_06-03_32_20_PM
2017-01-12,18946,11870,12,3412,3.1,5,1,2021_08_06-03_32_20_PM
2017-08-25,36779,17904,8,4726,7.7,22,1,2021_08_06-03_32_20_PM
2017-01-05,85936,12310,3,3267,5.5,11,5,2021_08_06-03_32_20_PM
2017-02-11,2566,29562,2,4505,9.2,17,3,2021_08_06-03_32_20_PM
2017-10-01,77078,20648,13,9651,9.0,10,0,2021_08_06-03_32_20_PM
2017-11-29,7523,439,14,605,3.2,19,3,2021_08_06-03_32_20_PM
2017-03-22,29275,7201,11,2123,2.0,27,1,2021_08_06-03_32_20_PM
2017-01-28,9592,16327,9,2123,1.8,5,5,2021_08_06-03_32_20_PM
2017-03-12,15021,28865,5,2154,7.7,19,1,2021_08_06-03_32_20_PM
2017-10-31,77766,29166,5,3352,4.0,20,1,2021_08_06-03_32_20_PM
2017-04-24,64908,17572,14,6256,0.6,9,1,2021_08_06-03_32_20_PM
2017-11-21,77407,16958,14,592,7.6,23,3,2021_08_06-03_32_20_PM
2017-03-04,72692,7403,3,3720,2.2,4,4,2021_08_06-03_32_20_PM
2017-03-10,53182,2453,8,4823,6.4,17,2,2021_08_06-03_32_20_PM
2017-12-24,44126,9598,9,605,9.7,18,4,2021_08_06-03_32_20_PM
2017-05-05,53182,26960,10,1565,9.5,20,1,2021_08_06-03_32_20_PM
2017-09-03,24684,14955,1,4132,0.7,23,4,2021_08_06-03_32_20_PM
2017-04-08,26956,27155,3,7793,9.8,8,5,2021_08_06-03_32_20_PM
2017-10-10,56103,29314,7,6177,5.2,6,0,2021_08_06-03_32_20_PM
2017-11-29,54443,28696,11,6667,8.6,29,3,2021_08_06-03_32_20_PM
2017-11-11,53166,26677,5,7515,9.0,21,0,2021_08_06-03_32_20_PM
2017-07-10,21222,6843,7,6177,5.4,16,2,2021_08_06-03_32_20_PM
2017-12-18,71447,16188,11,4726,8.7,20,3,2021_08_06-03_32_20_PM
2017-12-11,77078,2598,1,1984,4.5,22,1,2021_08_06-03_32_20_PM
2017-01-08,5761,18305,12,592,6.9,26,0,2021_08_06-03_32_20_PM
2017-04-17,53182,27206,3,6157,5.1,30,1,2021_08_06-03_32_20_PM
2017-11-10,44126,1507,11,3379,4.7,11,5,2021_08_06-03_32_20_PM
2017-07-24,89155,9286,12,3366,3.0,14,5,2021_08_06-03_32_20_PM
2017-11-08,15464,18590,9,4132,5.8,1,4,2021_08_06-03_32_20_PM
2017-12-22,71577,6432,14,7515,6.9,24,2,2021_08_06-03_32_20_PM
2017-12-15,52157,2129,3,605,3.0,8,4,2021_08_06-03_32_20_PM
2017-09-29,69212,3011,11,4823,1.1,26,5,2021_08_06-03_32_20_PM
2017-04-02,54443,5176,7,6793,0.8,12,5,2021_08_06-03_32_20_PM
2017-08-06,71577,10234,6,1867,6.5,10,0,2021_08_06-03_32_20_PM
2017-07-08,49011,29385,8,7793,5.5,29,0,2021_08_06-03_32_20_PM
2017-06-13,85936,22880,2,7515,7.1,4,3,2021_08_06-03_32_20_PM
2017-11-08,13831,24070,3,3510,3.1,1,4,2021_08_06-03_32_20_PM
2017-07-12,71447,26625,14,9159,8.1,16,5,2021_08_06-03_32_20_PM
2017-07-29,64752,18833,6,7403,1.7,3,0,2021_08_06-03_32_20_PM
2017-10-31,22366,14072,4,3412,5.4,13,3,2021_08_06-03_32_20_PM
2017-08-30,21255,10825,9,3983,6.8,30,1,2021_08_06-03_32_20_PM
2017-02-24,39804,16422,2,3366,8.0,5,3,2021_08_06-03_32_20_PM
2017-11-01,21255,20536,5,6864,6.0,12,5,2021_08_06-03_32_20_PM
2017-10-18,15021,28436,2,6177,5.7,14,0,2021_08_06-03_32_20_PM
2017-05-18,61663,21657,11,7916,7.6,23,5,2021_08_06-03_32_20_PM
2017-10-24,15464,22853,8,6177,1.5,2,1,2021_08_06-03_32_20_PM
2017-09-20,20317,8857,8,7793,7.7,30,5,2021_08_06-03_32_20_PM
2017-11-20,21255,25840,6,2123,3.3,6,3,2021_08_06-03_32_20_PM
2017-12-10,64906,24203,1,2160,8.2,2,5,2021_08_06-03_32_20_PM
2017-09-11,19918,8765,1,2471,0.9,4,2,2021_08_06-03_32_20_PM
2017-05-11,83027,15858,6,3366,7.4,28,5,2021_08_06-03_32_20_PM
2017-09-08,45464,7488,1,4132,6.0,26,4,2021_08_06-03_32_20_PM
2017-09-15,52309,3482,14,2123,1.9,22,0,2021_08_06-03_32_20_PM
2017-08-10,15672,9598,6,2154,5.4,1,5,2021_08_06-03_32_20_PM
2017-07-19,4332,29501,15,605,9.5,11,0,2021_08_06-03_32_20_PM
2017-06-24,80796,21043,4,3352,5.5,24,1,2021_08_06-03_32_20_PM
2017-10-26,66000,15571,9,6256,7.7,7,1,2021_08_06-03_32_20_PM
2017-08-24,21222,14941,2,1673,2.8,21,5,2021_08_06-03_32_20_PM
2017-01-11,33996,26659,6,2701,9.1,14,1,2021_08_06-03_32_20_PM
2017-03-07,52157,24339,6,2123,9.7,15,0,2021_08_06-03_32_20_PM
2017-09-22,36779,2598,6,1565,7.2,26,1,2021_08_06-03_32_20_PM
2017-09-10,66000,222,5,5198,7.3,3,0,2021_08_06-03_32_20_PM
2017-05-24,50743,20696,3,4726,2.9,4,2,2021_08_06-03_32_20_PM
2017-06-27,752,4734,8,9841,7.6,12,2,2021_08_06-03_32_20_PM
2017-02-02,83027,23502,8,3352,2.3,5,3,2021_08_06-03_32_20_PM
2017-06-30,32941,24618,13,3720,9.8,4,1,2021_08_06-03_32_20_PM
2017-07-08,44126,28279,3,3366,8.6,11,0,2021_08_06-03_32_20_PM
2017-10-31,21255,26423,9,2154,8.8,4,0,2021_08_06-03_32_20_PM
2017-09-10,7523,23168,9,2471,8.4,20,4,2021_08_06-03_32_20_PM
2017-05-10,33996,24618,1,3510,7.7,14,1,2021_08_06-03_32_20_PM
2017-07-26,77078,17904,11,1673,1.6,13,0,2021_08_06-03_32_20_PM
2017-10-15,53182,3932,2,1673,3.3,26,4,2021_08_06-03_32_20_PM
2017-03-06,37585,20536,9,9841,9.7,30,5,2021_08_06-03_32_20_PM
2017-08-26,75135,439,7,6667,3.9,28,5,2021_08_06-03_32_20_PM
2017-04-07,91126,17483,12,3412,5.3,16,0,2021_08_06-03_32_20_PM
2017-02-16,26956,227,11,4726,0.7,18,5,2021_08_06-03_32_20_PM
2017-10-25,66244,8932,10,9869,7.6,17,4,2021_08_06-03_32_20_PM
2017-12-21,54443,16675,14,9777,2.7,24,0,2021_08_06-03_32_20_PM
2017-04-08,75759,19120,8,4724,6.1,3,1,2021_08_06-03_32_20_PM
2017-05-27,72009,3202,8,4726,4.7,12,5,2021_08_06-03_32_20_PM
2017-06-04,13831,15788,6,3743,7.9,27,5,2021_08_06-03_32_20_PM
2017-06-24,58709,22290,3,4505,2.6,23,5,2021_08_06-03_32_20_PM
2017-06-14,53182,8654,1,3267,7.6,23,1,2021_08_06-03_32_20_PM
2017-01-20,21222,23588,7,5483,6.4,15,3,2021_08_06-03_32_20_PM
2017-02-19,20317,12260,10,4726,4.1,21,1,2021_08_06-03_32_20_PM
2017-11-04,752,4030,13,2471,9.5,7,4,2021_08_06-03_32_20_PM
2017-03-02,29204,9813,6,6667,5.6,24,0,2021_08_06-03_32_20_PM
2017-02-12,19918,19468,11,4132,7.3,23,4,2021_08_06-03_32_20_PM
2017-06-11,83027,1025,14,6256,5.6,15,4,2021_08_06-03_32_20_PM
2017-04-22,1417,28740,8,5186,0.6,13,2,2021_08_06-03_32_20_PM
2017-12-24,29204,22698,7,7916,1.9,8,3,2021_08_06-03_32_20_PM
2017-04-26,87316,3487,7,3379,8.4,12,2,2021_08_06-03_32_20_PM
2017-12-20,79236,3158,5,4505,1.3,28,1,2021_08_06-03_32_20_PM
2017-02-28,45464,2173,3,3267,2.1,11,5,2021_08_06-03_32_20_PM
2017-08-15,37936,6709,13,3267,4.2,7,3,2021_08_06-03_32_20_PM
2017-11-25,59227,26677,6,9869,8.0,24,4,2021_08_06-03_32_20_PM
2017-08-19,21255,20465,15,2154,3.3,22,2,2021_08_06-03_32_20_PM
2017-03-30,15021,16958,2,5186,9.5,23,1,2021_08_06-03_32_20_PM
2017-07-24,66000,10368,10,2701,2.7,19,4,2021_08_06-03_32_20_PM
2017-08-29,27089,20364,5,3743,2.4,2,1,2021_08_06-03_32_20_PM
2017-10-11,49011,6432,15,1673,3.7,13,4,2021_08_06-03_32_20_PM
2017-01-29,58709,23530,11,2471,5.9,13,3,2021_08_06-03_32_20_PM
2017-08-25,15464,22394,11,1673,3.6,26,4,2021_08_06-03_32_20_PM
2017-06-18,77407,20364,7,6256,5.7,17,0,2021_08_06-03_32_20_PM
2017-11-15,33996,10825,10,7515,9.5,18,0,2021_08_06-03_32_20_PM
2017-04-27,16768,20696,10,4505,6.5,1,1,2021_08_06-03_32_20_PM
2017-09-29,33996,6039,6,3379,3.0,4,2,2021_08_06-03_32_20_PM
2017-06-01,1417,6432,8,5198,3.0,17,4,2021_08_06-03_32_20_PM
2017-08-20,11281,14577,11,4505,1.7,7,3,2021_08_06-03_32_20_PM
2017-11-14,75135,13688,9,592,9.7,1,2,2021_08_06-03_32_20_PM
2017-03-01,1841,13879,1,9777,7.9,19,0,2021_08_06-03_32_20_PM
2017-01-25,59227,3313,15,3743,4.0,25,5,2021_08_06-03_32_20_PM
2017-02-25,41752,21534,4,6256,8.5,16,5,2021_08_06-03_32_20_PM
2017-01-20,4332,28254,10,2657,4.6,15,1,2021_08_06-03_32_20_PM
2017-08-24,44126,12000,6,6157,7.9,29,0,2021_08_06-03_32_20_PM
2017-02-03,64752,6320,6,4644,6.4,17,5,2021_08_06-03_32_20_PM
2017-01-06,77766,5528,11,9777,7.3,24,1,2021_08_06-03_32_20_PM
