Product_ID,Product_Name,Product_Category,Color,Cost,Price,Modified_Date
7667,Stout Inc lAM_2875,Sports and Outdoors,Thistle,504.58,603.46,2021_08_10-07_31_08_PM
12116,Sutton LLC lSy_1571,"Clothing, Shoes and Jewelry",SaddleBrown,2880.46,3540.99,2021_08_10-07_31_08_PM
22588,Black PLC jbd_6737,CDs and Vinyl,DarkGreen,2435.19,2945.0,2021_08_10-07_31_08_PM
25966,Anderson Ltd uKM_3685,Movies and TV,NavajoWhite,2457.91,2763.98,2021_08_10-07_31_08_PM
9631,Carr and Sons ygZ_7283,Sports and Outdoors,Orchid,686.52,880.4,2021_08_10-07_31_08_PM
12099,"Robertson, Kennedy and Sampson ygJ_9086",Pet Supplies,Cyan,2510.7,3218.03,2021_08_10-07_31_08_PM
23247,Simmons Group cny_9206,Home and Kitchen,Sienna,2757.03,3141.43,2021_08_10-07_31_08_PM
28744,Bell PLC QES_5924,Instant Video,Aquamarine,4867.98,5873.74,2021_08_10-07_31_08_PM
4478,Mitchell LLC koW_8207,Kindle Store,Coral,600.98,692.73,2021_08_10-07_31_08_PM
24939,Page-Gilbert COU_2690,Books,BlanchedAlmond,3040.48,3919.35,2021_08_10-07_31_08_PM
18552,Riley Inc xMp_4523,Cell Phones and Accessories,MediumSpringGreen,1737.89,2016.61,2021_08_10-07_31_08_PM
8795,Martin Group HSl_5547,Video Games,PeachPuff,2665.08,2959.65,2021_08_10-07_31_08_PM
27407,Lewis-Watson fPK_6395,Automotive,Cyan,2421.14,2869.14,2021_08_10-07_31_08_PM
12302,Schmitt-Gilmore exE_6525,Digital Music,DarkSlateBlue,2297.29,2715.78,2021_08_10-07_31_08_PM
18549,Jones LLC GcH_6531,"Patio, Lawn and Garden",Brown,1904.79,2325.46,2021_08_10-07_31_08_PM
2733,Montoya-Young qqI_1645,Books,LightSlateGray,223.57,246.39,2021_08_10-07_31_08_PM
10554,Smith Inc wJU_4629,Kindle Store,MediumTurquoise,447.14,521.34,2021_08_10-07_31_08_PM
20636,Valdez-Huffman tHu_6529,Video Games,Chartreuse,2754.17,3457.27,2021_08_10-07_31_08_PM
23300,"Hobbs, Jensen and Johnson dro_7729",Tools and Home Improvement,AntiqueWhite,4408.85,5258.24,2021_08_10-07_31_08_PM
